category,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mel1,mel2,mel3,mel4,mel5,mel6,mel7,mel8,mel9,mel10,cent1,cent2,cent3,cent4,cent5,cent6,cent7,cent8,cent9,cent10,cont1,cont2,cont3,cont4,cont5,cont6,cont7,tempo1,tempo2,tempo3,tempo4,tempo5,tempo6,tempo7,tempo8,tempo9,tempo10
dreamy,34.765614,14.736433,4.045403,-5.0142794,-2.4966445,1.3748404,8.811221,10.84904,7.0118546,0.966141,30.298029,12.92794,3.2949643,1.9674394,-0.28059545,-4.8112803,-10.464417,-7.5833883,-9.335706,-16.073378,0.43141999987395546,0.3741120196908458,0.37046368722362655,0.3325302883339539,0.408858942074104,0.3867840873106784,0.32962999053679837,0.33209446952099164,0.3627373064638084,0.3474991478033431,15.397920515304302,9.368317524611383,17.938666986060486,16.598798393977173,15.171888441162167,15.357645120207359,51.85433314192295,13.879393,5.9760623,4.7355924,3.1619854,1.7761884,1.1792268,0.6593042,0.54918075,0.45541507,0.33818156
dreamy,34.64157,5.699332,6.8561563,1.6545771,-2.7826266,0.6282118,1.6811616,-3.5028052,-3.489849,-5.465164,30.044834,15.273331,7.4830728,7.8869658,2.758808,5.1715918,-2.8339248,-3.8611472,-3.9909298,-3.9946365,0.469954717382247,0.633733485874291,0.6028413855100712,0.5874311040848526,0.5151302364046229,0.595423406668116,0.49584248771073675,0.4898673569237071,0.4741942245986829,0.5197357389858993,16.828971582517653,10.223657367578651,15.845183190224173,18.99435275003098,18.40258690038617,21.977828985414245,46.33200477679811,14.73447,4.6028132,3.4148629,2.3186114,1.2814878,0.8340479,0.6165513,0.46787372,0.39018166,0.34919196
dreamy,21.238792,15.126754,9.527414,3.2202697,1.427896,1.089225,1.8111228,-1.3942751,-2.4591367,-5.2859488,28.175915,11.071411,4.75554,2.891748,-0.9030401,-0.6996504,-1.9678037,-2.8557978,-3.530692,-3.7071059,0.2766507512752263,0.30083974724906737,0.2587501619067633,0.2824558464684861,0.261109826657386,0.35006149460056796,0.23026120816761556,0.224216638974208,0.28671266723380495,0.2775712198183103,15.758812922973899,10.772878579237375,16.538967247766603,19.78076840256404,18.41832500400077,17.878560045828735,46.27923756237732,17.190624,6.8201804,4.371624,2.5808,1.4995416,0.9169248,0.70792913,0.5798669,0.43867117,0.3825805
dreamy,53.598152,3.9425042,3.8259296,2.0220773,-0.79194385,1.5967413,0.77259976,-1.1176225,-4.0311613,-3.792378,34.28153,23.741732,16.083633,13.33997,5.3678412,6.0083623,0.24851894,-3.430573,-4.541837,-4.7041774,0.3704744111136466,0.2738291568106327,0.3501960238727914,0.23180080524242444,0.2601502407573972,0.3967609241350535,0.3354597193989565,0.32535426388246386,0.2745919028789837,0.31282619299171116,15.625921132284978,10.139360932335384,16.11906820952944,20.38884752304443,19.273656874908813,19.14111250669133,42.68420772539121,11.933897,3.1528149,2.4695516,1.6451094,1.086052,0.61679876,0.5107623,0.4104661,0.34615314,0.3250948
dreamy,16.074509,-17.595798,4.247786,-4.1380906,-11.607211,4.7094445,1.5004716,-1.6346622,-0.26194075,7.2370234,21.157227,11.7990675,8.522029,3.8653793,-3.049146,-10.753595,-13.587202,-14.016919,-14.083233,-14.083856,0.2566546014016143,0.2992113276464385,0.3379300407566344,0.21995839692653005,0.32788745639714406,0.4142457707500159,0.4424013615441658,0.4671403977909853,0.3607026448621861,0.44743521661599744,21.970362208436903,12.370417025847688,15.54006972147631,20.104941633736388,22.26173921223661,23.427210788368065,40.42490478501389,17.813334,9.286499,6.0162525,4.1114807,2.2377934,1.4450097,1.0957819,0.8887674,0.5525854,0.48857403
dreamy,18.79409,7.5907407,20.83634,2.8036304,0.09007694,4.7322,2.719888,1.4675584,2.363079,-0.09355361,29.61797,4.0304565,2.6110735,-0.0070789345,-4.956911,-8.351829,-9.696129,-10.712676,-10.937731,-10.940521,0.4393731419571807,0.4967465981832254,0.39482330275730076,0.4123110970424027,0.40137600575064486,0.45139324028734285,0.35205037602993916,0.30927102217823726,0.33848210942524154,0.4696792573347017,20.704358527231495,9.93534909451353,15.515496720019652,15.984718504232015,15.604165809394146,17.91018973320099,44.06196719562511,21.475794,9.957945,5.640709,3.662775,2.2979167,1.6854882,1.2504116,0.8544918,0.5971004,0.48623472
dreamy,62.884075,-6.6104445,9.143326,-6.472648,-1.8099579,5.768804,3.8662844,0.31282502,-4.063649,0.78686184,36.83381,24.514091,18.896658,15.872367,8.823578,-3.0091267,-10.08974,-10.638719,-12.096333,-12.584129,0.27772744956142875,0.18422282197331674,0.1298799514737487,0.1314033815255878,0.17482959113429125,0.208206401971043,0.34806444272288684,0.2400395671004554,0.23420949362984267,0.32996293236663155,16.837954494960528,10.098285551478725,16.169025706454526,18.505652515899115,18.06180656670317,20.157409663724266,45.22090512560649,13.120767,4.7890224,3.0784333,2.4519556,1.2641256,0.74426675,0.54536533,0.43000576,0.36835542,0.29571816
dreamy,-36.17459,-9.055868,13.414567,0.14971647,-4.5169296,-5.948575,-9.043267,-6.422253,-3.0315704,2.4042604,11.490963,-5.9235826,-15.161113,-22.271101,-25.835365,-27.83879,-28.15775,-28.202478,-28.20337,-28.203373,0.4580776376176707,0.4519807363351987,0.48427991150680266,0.3837626989211606,0.3767754382277667,0.3933004081429581,0.28165353044322683,0.1992851248562175,0.15406153118312657,0.07075400456279653,13.099551708013296,10.979611961084435,18.093354414520107,19.40427172143926,20.35983120112573,26.11467739477119,26.443888635640086,22.525436,11.287248,6.6765995,4.0274696,2.137821,1.2907512,0.8769821,0.6138141,0.48971096,0.40943405
dreamy,-0.9888367,0.20927556,8.238874,-10.25515,-6.1119576,-0.7748743,-10.970932,-4.3647733,-2.0138276,0.5492402,17.711918,1.7283845,-1.1661891,-7.524205,-12.75002,-17.665115,-18.389954,-18.770876,-19.286598,-19.38804,0.2298439417320885,0.32355860112345464,0.32638858089119765,0.36354832690900846,0.2720834233686724,0.3130721675800393,0.27224933781867316,0.2945789722100004,0.38281175745626345,0.5256143238911171,12.692967615370137,11.173521677800501,17.02376980127882,19.21845929656899,21.319274091041382,21.455978086444055,44.528502236196275,19.09059,8.332796,6.2748723,4.416235,2.3131418,1.3585575,1.0773808,0.860032,0.6686634,0.52454466
dreamy,31.904518,8.031127,18.406008,2.7257702,3.307796,3.6775632,-0.7259696,2.9607491,1.6199132,5.5093155,31.52172,9.068662,7.0564885,4.7727036,0.8970507,-3.282634,-4.157831,-4.2199464,-4.3972006,-4.4122186,0.6014865880099078,0.19661584100832089,0.1915328637649024,0.20071901067502496,0.22698239533269346,0.21596967140892503,0.2213982707843332,0.22702899331901327,0.1914806112082992,0.19979672702517526,12.37371285797583,9.159745759782624,16.142587759844513,18.76913050704745,19.303642047579878,20.584750498744913,47.80670236623774,15.489223,7.4143543,5.0989013,3.0610437,1.7046434,0.9534092,0.6519764,0.45984727,0.4693515,0.37633955
